Model	AUC train	AUC validation	F1 train	F1 validation
Baseline LogReg	0.7453122599046121	0.6941355129954966	0.6746501963058396	0.5098577760793
Cross Validation LogReg	0.8476273667376262	0.7002902181608507	0.7560502959531283	0.5082553203243952
After grid-search	0.8625377088070934	0.7005395935060227	0.7800956505606441	0.49081342843765663
LogReg N-Grams	0.8971143953165384	0.7002683217890796	0.8118226217567215	0.501867748421849
